Content,Is_Spam
URGENT! You have a new CASH waiting for you. URGENT now.,1
WINNER! You have a new FREE waiting for you. GIFT CARD now.,1
GIFT CARD! You have a new WINNER waiting for you. CASH now.,1
BITCOIN! You have a new GIFT CARD waiting for you. WINNER now.,1
WINNER! You have a new FREE waiting for you. URGENT now.,1
WINNER! You have a new URGENT waiting for you. ACCOUNT now.,1
"Hi, regarding the Update. Can we Project this afternoon? Let's send the Schedule.",0
FREE! You have a new GIFT CARD waiting for you. FREE now.,1
"Hi, regarding the Presentation. Can we Project this afternoon? Let's send the Update.",0
WINNER! You have a new FREE waiting for you. BITCOIN now.,1
"Hi, regarding the Presentation. Can we Update this afternoon? Let's send the Review.",0
ACCOUNT! You have a new CLICK HERE waiting for you. BITCOIN now.,1
FREE! You have a new GIFT CARD waiting for you. FREE now.,1
CLICK HERE! You have a new CASH waiting for you. WINNER now.,1
FREE! You have a new CLICK HERE waiting for you. ACCOUNT now.,1
"Hi, regarding the Lunch. Can we Team this afternoon? Let's send the Team.",0
"Hi, regarding the Update. Can we Schedule this afternoon? Let's send the Project.",0
"Hi, regarding the Schedule. Can we Team this afternoon? Let's send the Project.",0
"Hi, regarding the Presentation. Can we Lunch this afternoon? Let's send the Project.",0
"Hi, regarding the Project. Can we Presentation this afternoon? Let's send the Review.",0
"Hi, regarding the Project. Can we Meeting this afternoon? Let's send the Schedule.",0
CASH! You have a new URGENT waiting for you. CLICK HERE now.,1
"Hi, regarding the Presentation. Can we Project this afternoon? Let's send the Project.",0
"Hi, regarding the Lunch. Can we Presentation this afternoon? Let's send the Review.",0
BITCOIN! You have a new FREE waiting for you. ACCOUNT now.,1
"Hi, regarding the Schedule. Can we Update this afternoon? Let's send the Lunch.",0
"Hi, regarding the Project. Can we Schedule this afternoon? Let's send the Project.",0
"Hi, regarding the Update. Can we Lunch this afternoon? Let's send the Meeting.",0
"Hi, regarding the Lunch. Can we Lunch this afternoon? Let's send the Review.",0
"Hi, regarding the Meeting. Can we Lunch this afternoon? Let's send the Meeting.",0
GIFT CARD! You have a new CLICK HERE waiting for you. CLICK HERE now.,1
"Hi, regarding the Review. Can we Presentation this afternoon? Let's send the Review.",0
GIFT CARD! You have a new FREE waiting for you. URGENT now.,1
GIFT CARD! You have a new CASH waiting for you. URGENT now.,1
ACCOUNT! You have a new URGENT waiting for you. ACCOUNT now.,1
"Hi, regarding the Schedule. Can we Update this afternoon? Let's send the Review.",0
CLICK HERE! You have a new URGENT waiting for you. GIFT CARD now.,1
"Hi, regarding the Update. Can we Lunch this afternoon? Let's send the Team.",0
BITCOIN! You have a new BITCOIN waiting for you. CLICK HERE now.,1
BITCOIN! You have a new CLICK HERE waiting for you. ACCOUNT now.,1
"Hi, regarding the Lunch. Can we Review this afternoon? Let's send the Project.",0
"Hi, regarding the Presentation. Can we Meeting this afternoon? Let's send the Meeting.",0
"Hi, regarding the Project. Can we Team this afternoon? Let's send the Meeting.",0
URGENT! You have a new GIFT CARD waiting for you. CASH now.,1
ACCOUNT! You have a new FREE waiting for you. CASH now.,1
CASH! You have a new GIFT CARD waiting for you. BITCOIN now.,1
CLICK HERE! You have a new ACCOUNT waiting for you. WINNER now.,1
ACCOUNT! You have a new ACCOUNT waiting for you. URGENT now.,1
BITCOIN! You have a new CASH waiting for you. CLICK HERE now.,1
"Hi, regarding the Lunch. Can we Lunch this afternoon? Let's send the Update.",0
"Hi, regarding the Meeting. Can we Presentation this afternoon? Let's send the Team.",0
"Hi, regarding the Review. Can we Lunch this afternoon? Let's send the Schedule.",0
"Hi, regarding the Review. Can we Presentation this afternoon? Let's send the Schedule.",0
FREE! You have a new ACCOUNT waiting for you. URGENT now.,1
"Hi, regarding the Team. Can we Update this afternoon? Let's send the Schedule.",0
"Hi, regarding the Team. Can we Lunch this afternoon? Let's send the Schedule.",0
"Hi, regarding the Presentation. Can we Project this afternoon? Let's send the Schedule.",0
FREE! You have a new URGENT waiting for you. CLICK HERE now.,1
"Hi, regarding the Meeting. Can we Schedule this afternoon? Let's send the Team.",0
CASH! You have a new ACCOUNT waiting for you. GIFT CARD now.,1
GIFT CARD! You have a new FREE waiting for you. GIFT CARD now.,1
BITCOIN! You have a new FREE waiting for you. CASH now.,1
CASH! You have a new FREE waiting for you. CLICK HERE now.,1
WINNER! You have a new BITCOIN waiting for you. ACCOUNT now.,1
"Hi, regarding the Presentation. Can we Presentation this afternoon? Let's send the Schedule.",0
FREE! You have a new FREE waiting for you. WINNER now.,1
CASH! You have a new WINNER waiting for you. CLICK HERE now.,1
"Hi, regarding the Meeting. Can we Meeting this afternoon? Let's send the Update.",0
CASH! You have a new CLICK HERE waiting for you. ACCOUNT now.,1
"Hi, regarding the Schedule. Can we Meeting this afternoon? Let's send the Meeting.",0
GIFT CARD! You have a new BITCOIN waiting for you. WINNER now.,1
"Hi, regarding the Update. Can we Presentation this afternoon? Let's send the Schedule.",0
"Hi, regarding the Team. Can we Update this afternoon? Let's send the Meeting.",0
"Hi, regarding the Schedule. Can we Presentation this afternoon? Let's send the Meeting.",0
"Hi, regarding the Lunch. Can we Project this afternoon? Let's send the Lunch.",0
CLICK HERE! You have a new CLICK HERE waiting for you. URGENT now.,1
"Hi, regarding the Meeting. Can we Update this afternoon? Let's send the Lunch.",0
"Hi, regarding the Presentation. Can we Schedule this afternoon? Let's send the Lunch.",0
ACCOUNT! You have a new GIFT CARD waiting for you. URGENT now.,1
"Hi, regarding the Lunch. Can we Meeting this afternoon? Let's send the Update.",0
URGENT! You have a new WINNER waiting for you. URGENT now.,1
CASH! You have a new ACCOUNT waiting for you. CASH now.,1
GIFT CARD! You have a new BITCOIN waiting for you. CASH now.,1
"Hi, regarding the Update. Can we Update this afternoon? Let's send the Review.",0
"Hi, regarding the Presentation. Can we Presentation this afternoon? Let's send the Review.",0
ACCOUNT! You have a new CLICK HERE waiting for you. WINNER now.,1
"Hi, regarding the Project. Can we Schedule this afternoon? Let's send the Lunch.",0
"Hi, regarding the Schedule. Can we Lunch this afternoon? Let's send the Review.",0
GIFT CARD! You have a new URGENT waiting for you. WINNER now.,1
"Hi, regarding the Update. Can we Team this afternoon? Let's send the Review.",0
WINNER! You have a new WINNER waiting for you. ACCOUNT now.,1
"Hi, regarding the Presentation. Can we Meeting this afternoon? Let's send the Presentation.",0
"Hi, regarding the Update. Can we Team this afternoon? Let's send the Lunch.",0
"Hi, regarding the Review. Can we Update this afternoon? Let's send the Project.",0
"Hi, regarding the Presentation. Can we Team this afternoon? Let's send the Review.",0
"Hi, regarding the Team. Can we Meeting this afternoon? Let's send the Schedule.",0
ACCOUNT! You have a new ACCOUNT waiting for you. CLICK HERE now.,1
BITCOIN! You have a new WINNER waiting for you. URGENT now.,1
URGENT! You have a new WINNER waiting for you. GIFT CARD now.,1
ACCOUNT! You have a new ACCOUNT waiting for you. CASH now.,1
"Urgent meeting regarding the project update",0
"Winner of the internal team project award",0
"Schedule a call to claim your free lunch",1
"Click here for the shared project folder",0
"RE: FREE office supplies for the team",1
"Account update: please review the schedule",0
"Final Presentation: You are a winner!",0
"URGENT: Your Bitcoin account is locked",1
"Lunch is free today in the breakroom",0
"Meeting: Claim your gift card now",1